mavpackettype,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,_t,t
RCOU,7424529,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.3798952,5.679394
RCOU,7464513,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.4198792,5.719378
RCOU,7504497,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.4598632,5.759362
RCOU,7544481,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.4998472,5.799346
RCOU,7584465,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.5398312,5.83933
RCOU,7624449,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.5798151,5.879314
RCOU,7664433,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.6197991,5.919298
RCOU,7704417,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.6597831,5.959282
RCOU,7744401,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.699767,5.999266
RCOU,7784385,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.739751,6.03925
RCOU,7824369,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.779735,6.079234
RCOU,7864353,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.819719,6.119218
RCOU,7904337,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.859703,6.159202
RCOU,7944321,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.899687,6.199186
RCOU,7985138,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.940504,6.240003
RCOU,8025122,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451516.980488,6.279987
RCOU,8065106,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.020472,6.319971
RCOU,8105090,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.060456,6.359955
RCOU,8145074,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.10044,6.399939
RCOU,8185058,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.1404243,6.439923
RCOU,8225042,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.1804082,6.479907
RCOU,8265026,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.2203922,6.519891
RCOU,8305010,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.2603762,6.559875
RCOU,8344994,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3003602,6.599859
RCOU,8384978,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3403442,6.639843
RCOU,8424962,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.3803282,6.679827
RCOU,8464946,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.4203122,6.719811
RCOU,8504930,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.4602962,6.759795
RCOU,8544914,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.5002801,6.799779
RCOU,8584898,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.5402641,6.839763
RCOU,8624882,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.580248,6.879747
RCOU,8664866,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.620232,6.919731
RCOU,8704850,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.660216,6.959715
RCOU,8744834,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.7002,6.999699
RCOU,8784818,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.740184,7.039683
RCOU,8824802,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.780168,7.079667
RCOU,8864786,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.820152,7.119651
RCOU,8904770,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.860136,7.159635
RCOU,8944754,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.90012,7.199619
RCOU,8984738,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.9401042,7.239603
RCOU,9024722,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451517.9800882,7.279587
RCOU,9064706,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.0200722,7.319571
RCOU,9104690,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.0600562,7.359555
RCOU,9144674,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.1000402,7.399539
RCOU,9184658,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.1400242,7.439523
RCOU,9224642,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.1800082,7.479507
RCOU,9264626,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.2199922,7.519491
RCOU,9304610,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.2599761,7.559475
RCOU,9344594,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.2999601,7.599459
RCOU,9384578,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.3399441,7.639443
RCOU,9424562,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.379928,7.679427
RCOU,9464546,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451518.419912,7.719411
