mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t,t
IMU,34444550,0,0.6370716691017151,-0.12023575603961945,0.06461139023303986,2.550118923187256,0.012960778549313545,-6.128983020782471,0,0,27.162036895751953,1,1,1000,1000,1768451543.3999162,32.699415
IMU,34464542,1,0.620608925819397,-0.1256488859653473,0.06351731717586517,2.3583829402923584,-2.292962744832039e-05,-6.016999244689941,0,0,27.163227081298828,1,1,760,799,1768451543.419908,32.719407
IMU,34464542,0,0.6207121014595032,-0.12548688054084778,0.06363236904144287,2.435649871826172,0.07306435704231262,-6.044393539428711,0,0,27.163227081298828,1,1,1000,1000,1768451543.419908,32.719407
IMU,34484534,0,0.6054114103317261,-0.13368786871433258,0.06536951661109924,2.493241786956787,-0.019433340057730675,-5.775384426116943,0,0,27.16441535949707,1,1,1000,1000,1768451543.4399002,32.739399
IMU,34484534,1,0.6054956912994385,-0.13362765312194824,0.06524525582790375,2.4347987174987793,-0.05257781222462654,-5.741029739379883,0,0,27.16441535949707,1,1,760,799,1768451543.4399002,32.739399
IMU,34504526,0,0.5955260992050171,-0.14110295474529266,0.07012132555246353,2.421903133392334,-0.08611297607421875,-5.480607509613037,0,0,27.165603637695312,1,1,1000,1000,1768451543.459892,32.759391
IMU,34504526,1,0.5957279801368713,-0.14099586009979248,0.07035501301288605,2.3571879863739014,-0.03220687434077263,-5.457878112792969,0,0,27.165544509887695,1,1,760,799,1768451543.459892,32.759391
IMU,34524518,1,0.5916482210159302,-0.14925655722618103,0.07483566552400589,2.436828136444092,-0.07374675571918488,-5.206166744232178,0,0,27.166732788085938,1,1,760,799,1768451543.4798841,32.779383
IMU,34524518,0,0.5916997194290161,-0.14980654418468475,0.07454776018857956,2.480103015899658,-0.07222946733236313,-5.269225120544434,0,0,27.166793823242188,1,1,1000,1000,1768451543.4798841,32.779383
IMU,34544510,1,0.586183488368988,-0.16122518479824066,0.06800923496484756,2.3742382526397705,-0.1375327706336975,-4.927342414855957,0,0,27.167922973632812,1,1,760,799,1768451543.499876,32.799375
IMU,34544510,0,0.585700273513794,-0.16150732338428497,0.06776811927556992,2.3224709033966064,-0.14296026527881622,-4.857011795043945,0,0,27.16798210144043,1,1,1000,1000,1768451543.499876,32.799375
IMU,34564502,0,0.5672827363014221,-0.16351251304149628,0.05761977285146713,2.375378131866455,-0.23488332331180573,-4.676599502563477,0,0,27.169170379638672,1,1,1000,1000,1768451543.5198681,32.819367
IMU,34564502,1,0.5669704675674438,-0.16332502663135529,0.05728340148925781,2.3434042930603027,-0.24300841987133026,-4.747161865234375,0,0,27.169111251831055,1,1,760,799,1768451543.5198681,32.819367
IMU,34584494,0,0.5649434328079224,-0.1695372313261032,0.0672742947936058,2.2822842597961426,-0.31169113516807556,-4.511621475219727,0,0,27.170360565185547,1,1,1000,1000,1768451543.5398602,32.839359
IMU,34584494,1,0.5646399259567261,-0.16948281228542328,0.06711640954017639,2.343996047973633,-0.32070013880729675,-4.570051193237305,0,0,27.170299530029297,1,1,760,799,1768451543.5398602,32.839359
IMU,34604486,1,0.5601092576980591,-0.18043559789657593,0.08560188859701157,2.252530336380005,-0.4020256996154785,-4.192356109619141,0,0,27.171489715576172,1,1,760,799,1768451543.5598521,32.859351
IMU,34604486,0,0.5602418780326843,-0.18050311505794525,0.0863719955086708,2.2619404792785645,-0.2688359320163727,-4.191276550292969,0,0,27.17154884338379,1,1,1000,1000,1768451543.5598521,32.859351
IMU,34624478,1,0.5604483485221863,-0.19926294684410095,0.0978630855679512,2.1177031993865967,-0.2836923897266388,-3.8841512203216553,0,0,27.172677993774414,1,1,760,799,1768451543.5798442,32.879343
IMU,34624478,0,0.5598670840263367,-0.19961462914943695,0.09810154885053635,2.1914279460906982,-0.39025259017944336,-3.8425254821777344,0,0,27.17273712158203,1,1,1000,1000,1768451543.5798442,32.879343
IMU,34644470,0,0.5557113289833069,-0.21252505481243134,0.10353538393974304,2.1594104766845703,-0.31823328137397766,-3.381683349609375,0,0,27.17392349243164,1,1,1000,1000,1768451543.599836,32.899335
IMU,34644470,1,0.5557990074157715,-0.21207958459854126,0.10364735871553421,2.1757683753967285,-0.3599427342414856,-3.5080089569091797,0,0,27.173866271972656,1,1,760,799,1768451543.599836,32.899335
IMU,34664462,0,0.54828941822052,-0.21303364634513855,0.09661310911178589,2.191075563430786,-0.35245710611343384,-3.171832323074341,0,0,27.175113677978516,1,1,1000,1000,1768451543.6198282,32.919327
IMU,34664462,1,0.5482149124145508,-0.21300357580184937,0.09689967334270477,2.1950392723083496,-0.3404068350791931,-3.171476125717163,0,0,27.1750545501709,1,1,760,799,1768451543.6198282,32.919327
IMU,34684454,1,0.5367796421051025,-0.21118175983428955,0.09512186795473099,2.2362663745880127,-0.37721437215805054,-2.9332404136657715,0,0,27.17624282836914,1,1,760,799,1768451543.63982,32.939319
IMU,34684454,0,0.5370669960975647,-0.21114695072174072,0.09511570632457733,2.2058944702148438,-0.3564240634441376,-2.947896957397461,0,0,27.176301956176758,1,1,1000,1000,1768451543.63982,32.939319
IMU,34704446,0,0.5273617506027222,-0.2107895165681839,0.0884733498096466,2.1000237464904785,-0.42985999584198,-2.7931041717529297,0,0,27.177490234375,1,1,1000,1000,1768451543.6598122,32.959311
IMU,34704446,1,0.5274392366409302,-0.2109639197587967,0.08834431320428848,2.1443498134613037,-0.4175410270690918,-2.834043502807617,0,0,27.177431106567383,1,1,760,799,1768451543.6598122,32.959311
IMU,34724438,1,0.5175683498382568,-0.20854897797107697,0.0928288996219635,2.0125863552093506,-0.4503023326396942,-2.7465147972106934,0,0,27.178619384765625,1,1,760,799,1768451543.679804,32.979303
